Task ID,Device ID,Source Node,Destination Node,Success,Path,Latency,Task type,IP Allocation 
58.0,47131.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0138375641240036,1.0,,GA
59.0,75539.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0159011081925593,1.0,,GA
60.0,59708.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0142015647058626,1.0,,GA
61.0,29174.0,tianjin_man2,20,True,tianjin_man2-tianjin_edge4,6.025720373717627,1.0,,GA
62.0,73612.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0141574649475253,1.0,,GA
63.0,91283.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0146583573219818,1.0,,GA
64.0,9913.0,qhd_man1,52,True,qhd_man1-qhd_edge1,1.0225875014920718,1.0,,GA
65.0,49486.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0139163768360178,1.0,,GA
66.0,7039.0,handan_man2,55,True,handan_man2-handan_edge2,1.0405190477365522,1.0,,GA
67.0,21708.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.0373994608629522,1.0,,GA
68.0,7843.0,hengshui_man1,68,True,hengshui_man1-hengshui_edge1,1.025236362780835,1.0,,GA
69.0,50938.0,baoding_man1,58,True,baoding_man1-baoding_edge1,1.014089843564465,1.0,,GA
70.0,94533.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.016710946131402,1.0,,GA
71.0,12264.0,tangshan_man2,51,True,tangshan_man2-tangshan_edge2,1.0325196900118778,1.0,,GA
72.0,25910.0,beijing_man1,9,True,beijing_man1-beijing_edge3,6.034110602475469,1.0,,GA
73.0,23601.0,handan_man1,54,True,handan_man1-handan_edge1,1.0309244523646661,1.0,,GA
74.0,96949.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0135673258556308,1.0,,GA
75.0,24917.0,zhangjiako_man1,60,True,zhangjiako_man1-zhangjiako_edge1,1.0407306272890617,1.0,,GA
76.0,12809.0,hengshui_man1,68,True,hengshui_man1-hengshui_edge1,1.030043722350093,1.0,,GA
77.0,39118.0,zhangjiako_man2,61,True,zhangjiako_man2-zhangjiako_edge2,1.0148135230235602,1.0,,GA
78.0,93077.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.014470370717072,1.0,,GA
79.0,94541.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0162039172009951,1.0,,GA
80.0,99506.0,langfang_man2,67,True,langfang_man2-langfang_edge2,1.016349686878602,1.0,,GA
81.0,79703.0,tianjin_man2,19,True,tianjin_man2-tianjin_edge3,6.0155207111077775,1.0,,GA
82.0,65849.0,baoding_man1,58,True,baoding_man1-baoding_edge1,1.0152552397799715,1.0,,GA
83.0,89986.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.014659216010819,1.0,,GA
84.0,78274.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0143101232400606,1.0,,GA
85.0,49130.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.0142628023549238,1.0,,GA
86.0,16654.0,beijing_man1,10,True,beijing_man1-beijing_edge4,6.033647825036612,1.0,,GA
87.0,58217.0,tangshan_man2,51,True,tangshan_man2-tangshan_edge2,1.014490855125984,1.0,,GA
88.0,41370.0,tangshan_man1,50,True,tangshan_man1-tangshan_edge1,1.0143953443721112,1.0,,GA
89.0,86521.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.014290492930747,1.0,,GA
90.0,43234.0,cangzhou_man1,64,True,cangzhou_man1-cangzhou_edge1,1.0140335342833136,1.0,,GA
91.0,26161.0,tangshan_man2,51,True,tangshan_man2-tangshan_edge2,1.0390995580743767,1.0,,GA
92.0,44521.0,cangzhou_man1,64,True,cangzhou_man1-cangzhou_edge1,1.0135285063712836,1.0,,GA
93.0,84207.0,beijing_man1,9,True,beijing_man1-beijing_edge3,6.016184475819329,1.0,,GA
94.0,60106.0,cangzhou_man1,64,True,cangzhou_man1-cangzhou_edge1,1.013926713273374,1.0,,GA
95.0,63429.0,tianjin_man2,17,True,tianjin_man2-tianjin_edge1,6.016795502592076,1.0,,GA
96.0,83442.0,baoding_man2,59,True,baoding_man2-baoding_edge2,1.0151414876097917,1.0,,GA
97.0,17899.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.0323863644894626,1.0,,GA
98.0,59636.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.0140193180083776,1.0,,GA
99.0,24297.0,xingtai_man1,56,True,xingtai_man1-xingtai_edge1,1.0280084716895217,1.0,,GA
100.0,39754.0,handan_man1,54,True,handan_man1-handan_edge1,1.0146696523491379,1.0,,GA
101.0,64393.0,cangzhou_man2,65,True,cangzhou_man2-cangzhou_edge2,1.01518256420657,1.0,,GA
102.0,44394.0,hengshui_man1,68,True,hengshui_man1-hengshui_edge1,1.0144593793748724,1.0,,GA
103.0,5076.0,handan_man1,54,True,handan_man1-handan_edge1,1.0239674819183933,1.0,,GA
104.0,84787.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.0144569535242638,1.0,,GA
105.0,76160.0,handan_man1,54,True,handan_man1-handan_edge1,1.0146512115138517,1.0,,GA
106.0,56089.0,xingtai_man1,56,True,xingtai_man1-xingtai_edge1,1.0140651642851695,1.0,,GA
107.0,23742.0,hengshui_man1,68,True,hengshui_man1-hengshui_edge1,1.0305958393107002,1.0,,GA
108.0,38315.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0160161464825606,1.0,,GA
109.0,80491.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0174985724782888,1.0,,GA
110.0,629.0,tangshan_man2,51,True,tangshan_man2-tangshan_edge2,1.037758991387592,1.0,,GA
111.0,49832.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.014056945970584,1.0,,GA
112.0,4172.0,cangzhou_man1,64,True,cangzhou_man1-cangzhou_edge1,1.0364732078309693,1.0,,GA
113.0,31531.0,handan_man1,54,True,handan_man1-handan_edge1,1.0140791460338483,1.0,,GA
114.0,9098.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.0303732183651932,1.0,,GA
115.0,3644.0,hengshui_man1,68,True,hengshui_man1-hengshui_edge1,1.0305934844132447,1.0,,GA
116.0,48273.0,handan_man1,54,True,handan_man1-handan_edge1,1.0139702270410182,1.0,,GA
117.0,9226.0,zhangjiako_man1,39,True,zhangjiako_man1-zhangjiako_cloud,11.038955335509687,1.0,,GA
118.0,11240.0,cangzhou_man2,65,True,cangzhou_man2-cangzhou_edge2,1.023107265515961,1.0,,GA
119.0,98216.0,baoding_man2,59,True,baoding_man2-baoding_edge2,1.0151159956716724,1.0,,GA
120.0,96656.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0173512854256683,1.0,,GA
121.0,11186.0,handan_man1,54,True,handan_man1-handan_edge1,1.0420514615525671,1.0,,GA
122.0,86609.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0149606099963309,1.0,,GA
123.0,32784.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.016760884460068,1.0,,GA
124.0,72351.0,tianjin_man2,16,True,tianjin_man2-tianjin_core2-tianjin_cloud2,11.017276001329453,1.0,,GA
125.0,17296.0,handan_man1,54,True,handan_man1-handan_edge1,1.035938929090993,1.0,,GA
126.0,85585.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.016796366958899,1.0,,GA
127.0,97706.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.0144877900984968,1.0,,GA
128.0,66319.0,tangshan_man2,51,True,tangshan_man2-tangshan_edge2,1.0152807144943712,1.0,,GA
129.0,10303.0,qhd_man1,52,True,qhd_man1-qhd_edge1,1.024804827929416,1.0,,GA
130.0,29250.0,xingtai_man1,56,True,xingtai_man1-xingtai_edge1,1.039110378139836,1.0,,GA
131.0,89936.0,tianjin_man2,15,True,tianjin_man2-tianjin_core1-tianjin_cloud1,11.0149387047261,1.0,,GA
132.0,93658.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.0160498599503638,1.0,,GA
133.0,58781.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.0140113241005515,1.0,,GA
134.0,96523.0,langfang_man2,67,True,langfang_man2-langfang_edge2,1.0152822426648629,1.0,,GA
135.0,94356.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.0144818705177776,1.0,,GA
136.0,15909.0,chengde_man1,62,True,chengde_man1-chengde_edge1,1.0398175012994462,1.0,,GA
137.0,54838.0,xingtai_man1,56,True,xingtai_man1-xingtai_edge1,1.0144634415664298,1.0,,GA
138.0,92851.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.0153413192486143,1.0,,GA
139.0,19498.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.02768969624045,1.0,,GA
140.0,83044.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.0150723067229555,1.0,,GA
141.0,36975.0,baoding_man2,59,True,baoding_man2-baoding_edge2,1.014522652815992,1.0,,GA
142.0,80795.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0149697944451639,1.0,,GA
143.0,38614.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.0153816075911448,1.0,,GA
144.0,68808.0,handan_man1,54,True,handan_man1-handan_edge1,1.0146011388695535,1.0,,GA
145.0,87427.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.0141118665190638,1.0,,GA
146.0,25123.0,qhd_man2,53,True,qhd_man2-qhd_edge2,1.0393219092388246,1.0,,GA
147.0,51567.0,handan_man1,54,True,handan_man1-handan_edge1,1.013659416548044,1.0,,GA
148.0,27825.0,tangshan_man1,50,True,tangshan_man1-tangshan_edge1,1.039655774555902,1.0,,GA
149.0,80271.0,baoding_man2,59,True,baoding_man2-baoding_edge2,1.015210100576789,1.0,,GA
150.0,15436.0,tangshan_man1,50,True,tangshan_man1-tangshan_edge1,1.0347647726033466,1.0,,GA
151.0,63845.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.0173480796475447,1.0,,GA
152.0,66204.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.0166308383047125,1.0,,GA
153.0,1999.0,chengde_man1,62,True,chengde_man1-chengde_edge1,1.0328578765997654,1.0,,GA
154.0,5401.0,handan_man2,55,True,handan_man2-handan_edge2,1.0268060779042965,1.0,,GA
155.0,60032.0,handan_man1,54,True,handan_man1-handan_edge1,1.015700508159071,1.0,,GA
156.0,48559.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0139060239116324,1.0,,GA
157.0,50489.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.0141401037932574,1.0,,GA
158.0,62694.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0144767391853133,1.0,,GA
159.0,35301.0,handan_man1,54,True,handan_man1-handan_edge1,1.0136809934617506,1.0,,GA
160.0,52753.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0142625136192913,1.0,,GA
161.0,14585.0,cangzhou_man1,64,True,cangzhou_man1-cangzhou_edge1,1.0338495413293876,1.0,,GA
162.0,37467.0,baoding_man1,58,True,baoding_man1-baoding_edge1,1.0174713762875685,1.0,,GA
163.0,46797.0,cangzhou_man1,64,True,cangzhou_man1-cangzhou_edge1,1.014243391156387,1.0,,GA
164.0,22380.0,qhd_man1,52,True,qhd_man1-qhd_edge1,1.0391648020420958,1.0,,GA
165.0,20599.0,qhd_man2,53,True,qhd_man2-qhd_edge2,1.0336180532721047,1.0,,GA
166.0,29453.0,baoding_man2,59,True,baoding_man2-baoding_edge2,1.039451901065723,1.0,,GA
167.0,55150.0,cangzhou_man2,65,True,cangzhou_man2-cangzhou_edge2,1.01385121970954,1.0,,GA
168.0,69262.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.015044314744512,1.0,,GA
169.0,33961.0,tangshan_man1,50,True,tangshan_man1-tangshan_edge1,1.0137449275595005,1.0,,GA
170.0,37601.0,chengde_man2,63,True,chengde_man2-chengde_edge2,1.0148984961796959,1.0,,GA
171.0,23814.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.0304402518309073,1.0,,GA
172.0,14277.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.026801132387101,1.0,,GA
173.0,45165.0,tangshan_man1,50,True,tangshan_man1-tangshan_edge1,1.0136064473211635,1.0,,GA
174.0,87036.0,tianjin_man2,20,True,tianjin_man2-tianjin_edge4,6.016251884962976,1.0,,GA
175.0,16046.0,hengshui_man1,68,True,hengshui_man1-hengshui_edge1,1.02463644799595,1.0,,GA
176.0,20320.0,beijing_man2,6,True,beijing_man2-beijing_core2-beijing_cloud2,11.028356251133637,1.0,,GA
177.0,53065.0,xingtai_man1,56,True,xingtai_man1-xingtai_edge1,1.0139583505485503,1.0,,GA
178.0,32498.0,langfang_man1,66,True,langfang_man1-langfang_edge1,1.01457629879977,1.0,,GA
179.0,99648.0,langfang_man2,67,True,langfang_man2-langfang_edge2,1.0147377708345036,1.0,,GA
180.0,56864.0,beijing_man2,8,True,beijing_man2-beijing_edge2,1.01384351290148,1.0,,GA
181.0,21157.0,handan_man1,54,True,handan_man1-handan_edge1,1.0285578667869457,1.0,,GA
182.0,2073.0,handan_man1,54,True,handan_man1-handan_edge1,1.02707398766354,1.0,,GA
183.0,42828.0,xingtai_man1,56,True,xingtai_man1-xingtai_edge1,1.014427964902567,1.0,,GA
184.0,92303.0,beijing_man1,7,True,beijing_man1-beijing_edge1,1.013684919373337,1.0,,GA
185.0,38516.0,xingtai_man1,56,True,xingtai_man1-xingtai_edge1,1.0148946423804663,1.0,,GA
186.0,71539.0,baoding_man1,58,True,baoding_man1-baoding_edge1,1.0168190865327709,1.0,,GA
187.0,66181.0,tianjin_man2,18,True,tianjin_man2-tianjin_edge2,1.0147617582023214,1.0,,GA
188.0,73366.0,shijiangzhuang_man1,48,True,shijiangzhuang_man1-shijiangzhuang_edge1,1.0148729695481646,1.0,,GA
