[2025-04-29 15:40:44] Algorithm: GA
Task Success Rate: 100.00%
Elapsed Time: 16.10 seconds
Resource Utilization:
  ID: 51, Name: tangshan_edge2, Type: 1, RAM Utilization: 0.02%, Storage Utilization: 0.00%
  ID: 52, Name: qhd_edge1, Type: 1, RAM Utilization: 0.01%, Storage Utilization: 0.00%
  ID: 53, Name: qhd_edge2, Type: 1, RAM Utilization: 0.00%, Storage Utilization: 0.00%
  ID: 54, Name: handan_edge1, Type: 1, RAM Utilization: 0.03%, Storage Utilization: 0.00%
  ID: 55, Name: handan_edge2, Type: 1, RAM Utilization: 0.00%, Storage Utilization: 0.00%
  ID: 56, Name: xingtai_edge1, Type: 1, RAM Utilization: 0.02%, Storage Utilization: 0.00%
  ID: 57, Name: xingtai_edge2, Type: 1, RAM Utilization: 0.00%, Storage Utilization: 0.00%
  ID: 36, Name: baoding_cloud, Type: 0, RAM Utilization: 0.00%, Storage Utilization: 0.00%
  ID: 58, Name: baoding_edge1, Type: 1, RAM Utilization: 0.02%, Storage Utilization: 0.00%
  ID: 59, Name: baoding_edge2, Type: 1, RAM Utilization: 0.02%, Storage Utilization: 0.00%
  ID: 39, Name: zhangjiako_cloud, Type: 0, RAM Utilization: 0.00%, Storage Utilization: 0.00%
