source_name,source_ID,destination_name,destination_ID,lantency,path,sub_path,tunnelId
tianjin_man2,4,beijing_edge3,9,5.06,tianjin_man2-tianjin_core1-beijing_core1-beijing_man2-beijing_edge3,"[tianjin_man2-tianjin_core1],[tianjin_core1-beijing_core1],[beijing_core1-beijing_man2],[beijing_man2-beijing_edge3]",tianjin_man2~beijing_edge3
tianjin_man2,4,beijing_edge4,10,5.06,tianjin_man2-tianjin_core1-beijing_core1-beijing_man2-beijing_edge4,"[tianjin_man2-tianjin_core1],[tianjin_core1-beijing_core1],[beijing_core1-beijing_man2],[beijing_man2-beijing_edge4]",tianjin_man2~beijing_edge4
tianjin_man2,4,tianjin_cloud1,15,1.1,tianjin_man2-tianjin_core1-tianjin_cloud1,"[tianjin_man2-tianjin_core1],[tianjin_core1-tianjin_cloud1]",tianjin_man2~tianjin_cloud1
tianjin_man2,4,tianjin_cloud2,16,1.1,tianjin_man2-tianjin_core2-tianjin_cloud2,"[tianjin_man2-tianjin_core2],[tianjin_core2-tianjin_cloud2]",tianjin_man2~tianjin_cloud2
tianjin_man2,4,tianjin_edge1,17,0.6,tianjin_man2-tianjin_edge1,[tianjin_man2-tianjin_edge1],tianjin_man2~tianjin_edge1
tianjin_man2,4,tianjin_edge2,18,0.1,tianjin_man2-tianjin_edge2,[tianjin_man2-tianjin_edge2],tianjin_man2~tianjin_edge2
tianjin_man2,4,tianjin_edge3,19,0.6,tianjin_man2-tianjin_edge3,[tianjin_man2-tianjin_edge3],tianjin_man2~tianjin_edge3
tianjin_man2,4,tianjin_edge4,20,0.6,tianjin_man2-tianjin_edge4,[tianjin_man2-tianjin_edge4],tianjin_man2~tianjin_edge4
tianjin_man2,4,shijiangzhuang_cloud,24,8.49,tianjin_man2-tianjin_core1-shijiangzhuang_core-shijiangzhuang_cloud,"[tianjin_man2-tianjin_core1],[tianjin_core1-shijiangzhuang_core],[shijiangzhuang_core-shijiangzhuang_cloud]",tianjin_man2~shijiangzhuang_cloud
tianjin_man2,4,baoding_cloud,36,10.09,tianjin_man2-tianjin_core1-tangshan_core-baoding_man2-baoding_cloud,"[tianjin_man2-tianjin_core1],[tianjin_core1-tangshan_core],[tangshan_core-baoding_man2],[baoding_man2-baoding_cloud]",tianjin_man2~baoding_cloud
tianjin_man2,4,zhangjiako_cloud,39,9.3,tianjin_man2-tianjin_core1-beijing_core1-zhangjiako_man2-zhangjiako_cloud,"[tianjin_man2-tianjin_core1],[tianjin_core1-beijing_core1],[beijing_core1-zhangjiako_man2],[zhangjiako_man2-zhangjiako_cloud]",tianjin_man2~zhangjiako_cloud
tianjin_man2,4,shijiangzhuang_edge1,48,9.49,tianjin_man2-tianjin_core1-shijiangzhuang_core-shijiangzhuang_man1-shijiangzhuang_edge1,"[tianjin_man2-tianjin_core1],[tianjin_core1-shijiangzhuang_core],[shijiangzhuang_core-shijiangzhuang_man1],[shijiangzhuang_man1-shijiangzhuang_edge1]",tianjin_man2~shijiangzhuang_edge1
